
###################################################
### Dimensionality Reduction Methods Comparison ###
###################################################

Loading highd (d=128) dataset...
n * d = 1024 * 128
n_clusters = 16
R = 3
n	d	n_clust	test_pr	eval_against	method	k	k/d	vmeas	vmeas_e	time
1024	128	16	kneigh_	gr-truth	sampDim	10	0.07812	1.000	0.00	0.155532	
1024	128	16	kneigh_	baseline	sampDim	10	0.07812	1.000	0.00	0.147796	
1024	128	16	kneigh_	gr-truth	sampDim	5	0.03906	1.000	0.00	0.157028	
1024	128	16	kneigh_	baseline	sampDim	5	0.03906	1.000	0.00	0.156878	
1024	128	16	kneigh_	gr-truth	sampDim	1	0.00781	0.848	0.06	0.157727	
Error! Check the code. The clustering routine used 15 of the 16 available cluster(s).
1024	128	16	kneigh_	baseline	sampDim	1	0.00781	0.874	0.05	0.158432	
1024	128	16	kneigh_	gr-truth	HVarDim	50	0.39062	1.000	0.00	0.148292	
1024	128	16	kneigh_	baseline	HVarDim	50	0.39062	1.000	0.00	0.157995	
1024	128	16	kneigh_	gr-truth	HVarDim	20	0.15625	1.000	0.00	0.157613	
1024	128	16	kneigh_	baseline	HVarDim	20	0.15625	1.000	0.00	0.158840	
1024	128	16	kneigh_	gr-truth	HVarDim	10	0.07812	1.000	0.00	0.158933	
1024	128	16	kneigh_	baseline	HVarDim	10	0.07812	1.000	0.00	0.157987	
1024	128	16	kneigh_	gr-truth	HVarDim	5	0.03906	1.000	0.00	0.157195	
1024	128	16	kneigh_	baseline	HVarDim	5	0.03906	1.000	0.00	0.159908	
1024	128	16	kneigh_	gr-truth	HVarDim	1	0.00781	0.913	0.00	0.151833	
1024	128	16	kneigh_	baseline	HVarDim	1	0.00781	0.913	0.00	0.158326	
1024	128	16	kneigh_	gr-truth	usePCA	50	0.39062	1.000	0.00	0.152790	
1024	128	16	kneigh_	baseline	usePCA	50	0.39062	1.000	0.00	0.156239	
1024	128	16	kneigh_	gr-truth	usePCA	20	0.15625	1.000	0.00	0.153969	
1024	128	16	kneigh_	baseline	usePCA	20	0.15625	1.000	0.00	0.154621	
1024	128	16	kneigh_	gr-truth	usePCA	10	0.07812	1.000	0.00	0.154358	
1024	128	16	kneigh_	baseline	usePCA	10	0.07812	1.000	0.00	0.156121	
1024	128	16	kneigh_	gr-truth	usePCA	5	0.03906	1.000	0.00	0.163516	
1024	128	16	kneigh_	baseline	usePCA	5	0.03906	1.000	0.00	0.159713	
1024	128	16	kneigh_	gr-truth	usePCA	1	0.00781	0.964	0.02	0.163019	
1024	128	16	kneigh_	baseline	usePCA	1	0.00781	0.954	0.00	0.175932	
1024	128	16	kneigh_	gr-truth	FactAna	50	0.39062	1.000	0.00	0.295463	
1024	128	16	kneigh_	baseline	FactAna	50	0.39062	1.000	0.00	0.280903	
1024	128	16	kneigh_	gr-truth	FactAna	20	0.15625	0.998	0.00	0.163574	
1024	128	16	kneigh_	baseline	FactAna	20	0.15625	0.998	0.00	0.160815	
1024	128	16	kneigh_	gr-truth	FactAna	10	0.07812	1.000	0.00	0.172494	
1024	128	16	kneigh_	baseline	FactAna	10	0.07812	1.000	0.00	0.168773	
1024	128	16	kneigh_	gr-truth	FactAna	5	0.03906	1.000	0.00	0.169398	
1024	128	16	kneigh_	baseline	FactAna	5	0.03906	1.000	0.00	0.171167	
1024	128	16	kneigh_	gr-truth	FactAna	1	0.00781	0.934	0.00	0.171232	
1024	128	16	kneigh_	baseline	FactAna	1	0.00781	0.934	0.00	0.168394	
1024	128	16	kmeans_	gr-truth	-	-	-	1.000	0.00	1.016542	
1024	128	16	kmeans_	gr-truth	Achliop	50	0.39062	1.000	0.00	0.288920	/
1024	128	16	kmeans_	baseline	Achliop	50	0.39062	1.000	0.00	0.332615	/
1024	128	16	kmeans_	gr-truth	Achliop	20	0.15625	1.000	0.00	0.300765	/
1024	128	16	kmeans_	baseline	Achliop	20	0.15625	1.000	0.00	0.293145	/
1024	128	16	kmeans_	gr-truth	Achliop	10	0.07812	1.000	0.00	0.301921	/
1024	128	16	kmeans_	baseline	Achliop	10	0.07812	1.000	0.00	0.322612	/
1024	128	16	kmeans_	gr-truth	Achliop	5	0.03906	1.000	0.00	0.118212	/
1024	128	16	kmeans_	baseline	Achliop	5	0.03906	1.000	0.00	0.103615	/
1024	128	16	kmeans_	gr-truth	Achliop	1	0.00781	0.905	0.01	0.126824	/
1024	128	16	kmeans_	baseline	Achliop	1	0.00781	0.912	0.02	0.125997	/
1024	128	16	kmeans_	gr-truth	FastJLT	50	0.39062	0.918	0.01	0.347766	0.1414213562373095
1024	128	16	kmeans_	baseline	FastJLT	50	0.39062	0.919	0.01	0.340327	0.1414213562373095
1024	128	16	kmeans_	gr-truth	FastJLT	20	0.15625	0.893	0.04	0.251641	0.22360679774997896
1024	128	16	kmeans_	baseline	FastJLT	20	0.15625	0.866	0.04	0.280959	0.22360679774997896
1024	128	16	kmeans_	gr-truth	FastJLT	10	0.07812	0.885	0.05	0.262472	0.31622776601683794
1024	128	16	kmeans_	baseline	FastJLT	10	0.07812	0.874	0.04	0.270106	0.31622776601683794
1024	128	16	kmeans_	gr-truth	FastJLT	5	0.03906	0.906	0.03	0.109872	0.4472135954999579
1024	128	16	kmeans_	baseline	FastJLT	5	0.03906	0.861	0.03	0.125330	0.4472135954999579
1024	128	16	kmeans_	gr-truth	FastJLT	1	0.00781	0.894	0.02	0.108253	1.0
1024	128	16	kmeans_	baseline	FastJLT	1	0.00781	0.926	0.05	0.106487	1.0
1024	128	16	kmeans_	gr-truth	sampDim	50	0.39062	1.000	0.00	0.294087	
1024	128	16	kmeans_	baseline	sampDim	50	0.39062	1.000	0.00	0.331623	
1024	128	16	kmeans_	gr-truth	sampDim	20	0.15625	1.000	0.00	0.250895	
1024	128	16	kmeans_	baseline	sampDim	20	0.15625	1.000	0.00	0.289236	
1024	128	16	kmeans_	gr-truth	sampDim	10	0.07812	1.000	0.00	0.343201	
1024	128	16	kmeans_	baseline	sampDim	10	0.07812	1.000	0.00	0.324764	
1024	128	16	kmeans_	gr-truth	sampDim	5	0.03906	1.000	0.00	0.068837	
1024	128	16	kmeans_	baseline	sampDim	5	0.03906	1.000	0.00	0.039586	
1024	128	16	kmeans_	gr-truth	sampDim	1	0.00781	0.891	0.01	0.039134	
1024	128	16	kmeans_	baseline	sampDim	1	0.00781	0.887	0.02	0.038020	
1024	128	16	kmeans_	gr-truth	HVarDim	50	0.39062	1.000	0.00	0.290512	
1024	128	16	kmeans_	baseline	HVarDim	50	0.39062	1.000	0.00	0.271999	
1024	128	16	kmeans_	gr-truth	HVarDim	20	0.15625	1.000	0.00	0.321522	
1024	128	16	kmeans_	baseline	HVarDim	20	0.15625	1.000	0.00	0.280017	
1024	128	16	kmeans_	gr-truth	HVarDim	10	0.07812	1.000	0.00	0.244011	
1024	128	16	kmeans_	baseline	HVarDim	10	0.07812	1.000	0.00	0.252535	
1024	128	16	kmeans_	gr-truth	HVarDim	5	0.03906	1.000	0.00	0.048531	
1024	128	16	kmeans_	baseline	HVarDim	5	0.03906	1.000	0.00	0.041685	
1024	128	16	kmeans_	gr-truth	HVarDim	1	0.00781	0.921	0.00	0.035873	
1024	128	16	kmeans_	baseline	HVarDim	1	0.00781	0.922	0.00	0.041520	
1024	128	16	kmeans_	gr-truth	usePCA	50	0.39062	1.000	0.00	0.274603	
1024	128	16	kmeans_	baseline	usePCA	50	0.39062	1.000	0.00	0.323119	
1024	128	16	kmeans_	gr-truth	usePCA	20	0.15625	1.000	0.00	0.273086	
1024	128	16	kmeans_	baseline	usePCA	20	0.15625	1.000	0.00	0.308908	
1024	128	16	kmeans_	gr-truth	usePCA	10	0.07812	1.000	0.00	0.283092	
1024	128	16	kmeans_	baseline	usePCA	10	0.07812	1.000	0.00	0.345001	
1024	128	16	kmeans_	gr-truth	usePCA	5	0.03906	1.000	0.00	0.137788	
1024	128	16	kmeans_	baseline	usePCA	5	0.03906	1.000	0.00	0.121233	
1024	128	16	kmeans_	gr-truth	usePCA	1	0.00781	0.959	0.00	0.113858	
1024	128	16	kmeans_	baseline	usePCA	1	0.00781	0.958	0.01	0.128058	
1024	128	16	kmeans_	gr-truth	FactAna	50	0.39062	0.981	0.00	0.362760	
1024	128	16	kmeans_	baseline	FactAna	50	0.39062	0.975	0.01	0.357560	
1024	128	16	kmeans_	gr-truth	FactAna	20	0.15625	1.000	0.00	0.283188	
1024	128	16	kmeans_	baseline	FactAna	20	0.15625	1.000	0.00	0.268786	
1024	128	16	kmeans_	gr-truth	FactAna	10	0.07812	1.000	0.00	0.278600	
1024	128	16	kmeans_	baseline	FactAna	10	0.07812	1.000	0.00	0.271726	
1024	128	16	kmeans_	gr-truth	FactAna	5	0.03906	1.000	0.00	0.127055	
1024	128	16	kmeans_	baseline	FactAna	5	0.03906	1.000	0.00	0.129840	
1024	128	16	kmeans_	gr-truth	FactAna	1	0.00781	0.937	0.00	0.143248	
1024	128	16	kmeans_	baseline	FactAna	1	0.00781	0.937	0.00	0.111276	

Loading highd (d=256) dataset...
n * d = 1024 * 256
n_clusters = 16
R = 3
n	d	n_clust	test_pr	eval_against	method	k	k/d	vmeas	vmeas_e	time
1024	256	16	kneigh_	gr-truth	-	-	-	1.000	0.00	0.157958	
1024	256	16	kneigh_	gr-truth	Achliop	50	0.19531	1.000	0.00	0.161700	/
1024	256	16	kneigh_	baseline	Achliop	50	0.19531	1.000	0.00	0.167689	/
1024	256	16	kneigh_	gr-truth	Achliop	20	0.07812	1.000	0.00	0.165908	/
1024	256	16	kneigh_	baseline	Achliop	20	0.07812	1.000	0.00	0.169471	/
1024	256	16	kneigh_	gr-truth	Achliop	10	0.03906	1.000	0.00	0.166532	/
1024	256	16	kneigh_	baseline	Achliop	10	0.03906	1.000	0.00	0.165246	/
1024	256	16	kneigh_	gr-truth	Achliop	5	0.01953	1.000	0.00	0.165163	/
1024	256	16	kneigh_	baseline	Achliop	5	0.01953	1.000	0.00	0.165626	/
1024	256	16	kneigh_	gr-truth	Achliop	1	0.00391	0.929	0.02	0.166530	/
1024	256	16	kneigh_	baseline	Achliop	1	0.00391	0.884	0.06	0.167599	/
1024	256	16	kneigh_	gr-truth	FastJLT	50	0.19531	0.897	0.02	0.169412	0.1414213562373095
1024	256	16	kneigh_	baseline	FastJLT	50	0.19531	0.966	0.00	0.167806	0.1414213562373095
1024	256	16	kneigh_	gr-truth	FastJLT	20	0.07812	0.935	0.01	0.166143	0.22360679774997896
1024	256	16	kneigh_	baseline	FastJLT	20	0.07812	0.919	0.06	0.168355	0.22360679774997896
1024	256	16	kneigh_	gr-truth	FastJLT	10	0.03906	0.928	0.04	0.166476	0.31622776601683794
1024	256	16	kneigh_	baseline	FastJLT	10	0.03906	0.956	0.02	0.166951	0.31622776601683794
1024	256	16	kneigh_	gr-truth	FastJLT	5	0.01953	0.899	0.05	0.167080	0.4472135954999579
1024	256	16	kneigh_	baseline	FastJLT	5	0.01953	0.921	0.03	0.165056	0.4472135954999579
1024	256	16	kneigh_	gr-truth	FastJLT	1	0.00391	0.960	0.01	0.166690	1.0
1024	256	16	kneigh_	baseline	FastJLT	1	0.00391	0.926	0.02	0.170832	1.0
1024	256	16	kneigh_	gr-truth	sampDim	50	0.19531	1.000	0.00	0.164684	
1024	256	16	kneigh_	baseline	sampDim	50	0.19531	1.000	0.00	0.158050	
1024	256	16	kneigh_	gr-truth	sampDim	20	0.07812	1.000	0.00	0.158389	
1024	256	16	kneigh_	baseline	sampDim	20	0.07812	1.000	0.00	0.151005	
1024	256	16	kneigh_	gr-truth	sampDim	10	0.03906	1.000	0.00	0.157885	
1024	256	16	kneigh_	baseline	sampDim	10	0.03906	1.000	0.00	0.156158	
1024	256	16	kneigh_	gr-truth	sampDim	5	0.01953	1.000	0.00	0.156110	
1024	256	16	kneigh_	baseline	sampDim	5	0.01953	1.000	0.00	0.154661	
1024	256	16	kneigh_	gr-truth	sampDim	1	0.00391	0.938	0.04	0.157669	
1024	256	16	kneigh_	baseline	sampDim	1	0.00391	0.926	0.03	0.158288	
1024	256	16	kneigh_	gr-truth	HVarDim	50	0.19531	1.000	0.00	0.158322	
1024	256	16	kneigh_	baseline	HVarDim	50	0.19531	1.000	0.00	0.158397	
1024	256	16	kneigh_	gr-truth	HVarDim	20	0.07812	1.000	0.00	0.157282	
1024	256	16	kneigh_	baseline	HVarDim	20	0.07812	1.000	0.00	0.157706	
1024	256	16	kneigh_	gr-truth	HVarDim	10	0.03906	1.000	0.00	0.157738	
1024	256	16	kneigh_	baseline	HVarDim	10	0.03906	1.000	0.00	0.157904	
1024	256	16	kneigh_	gr-truth	HVarDim	5	0.01953	1.000	0.00	0.156881	
1024	256	16	kneigh_	baseline	HVarDim	5	0.01953	1.000	0.00	0.157899	
Error! Check the code. The clustering routine used 15 of the 16 available cluster(s).
Error! Check the code. The clustering routine used 15 of the 16 available cluster(s).
Error! Check the code. The clustering routine used 15 of the 16 available cluster(s).
1024	256	16	kneigh_	gr-truth	HVarDim	1	0.00391	0.896	0.00	0.159871	
Error! Check the code. The clustering routine used 15 of the 16 available cluster(s).
Error! Check the code. The clustering routine used 15 of the 16 available cluster(s).
Error! Check the code. The clustering routine used 15 of the 16 available cluster(s).
1024	256	16	kneigh_	baseline	HVarDim	1	0.00391	0.896	0.00	0.151084	
1024	256	16	kneigh_	gr-truth	usePCA	50	0.19531	1.000	0.00	0.152593	
1024	256	16	kneigh_	baseline	usePCA	50	0.19531	1.000	0.00	0.153856	
1024	256	16	kneigh_	gr-truth	usePCA	20	0.07812	1.000	0.00	0.153662	
1024	256	16	kneigh_	baseline	usePCA	20	0.07812	1.000	0.00	0.155498	
1024	256	16	kneigh_	gr-truth	usePCA	10	0.03906	1.000	0.00	0.153546	
1024	256	16	kneigh_	baseline	usePCA	10	0.03906	1.000	0.00	0.155540	
1024	256	16	kneigh_	gr-truth	usePCA	5	0.01953	1.000	0.00	0.154425	
1024	256	16	kneigh_	baseline	usePCA	5	0.01953	1.000	0.00	0.159024	
1024	256	16	kneigh_	gr-truth	usePCA	1	0.00391	1.000	0.00	0.155078	
1024	256	16	kneigh_	baseline	usePCA	1	0.00391	0.996	0.01	0.155953	
1024	256	16	kneigh_	gr-truth	FactAna	50	0.19531	1.000	0.00	0.303368	
1024	256	16	kneigh_	baseline	FactAna	50	0.19531	1.000	0.00	0.266263	
1024	256	16	kneigh_	gr-truth	FactAna	20	0.07812	1.000	0.00	0.156592	
1024	256	16	kneigh_	baseline	FactAna	20	0.07812	1.000	0.00	0.202807	
1024	256	16	kneigh_	gr-truth	FactAna	10	0.03906	1.000	0.00	0.171668	
1024	256	16	kneigh_	baseline	FactAna	10	0.03906	1.000	0.00	0.170368	
1024	256	16	kneigh_	gr-truth	FactAna	5	0.01953	1.000	0.00	0.175417	
1024	256	16	kneigh_	baseline	FactAna	5	0.01953	1.000	0.00	0.170968	
1024	256	16	kneigh_	gr-truth	FactAna	1	0.00391	0.954	0.00	0.167455	
1024	256	16	kneigh_	baseline	FactAna	1	0.00391	0.954	0.00	0.168106	
1024	256	16	kmeans_	gr-truth	-	-	-	1.000	0.00	0.657003	
1024	256	16	kmeans_	gr-truth	Achliop	50	0.19531	1.000	0.00	0.292148	/
1024	256	16	kmeans_	baseline	Achliop	50	0.19531	1.000	0.00	0.286395	/
1024	256	16	kmeans_	gr-truth	Achliop	20	0.07812	1.000	0.00	0.286967	/
1024	256	16	kmeans_	baseline	Achliop	20	0.07812	1.000	0.00	0.338005	/
1024	256	16	kmeans_	gr-truth	Achliop	10	0.03906	1.000	0.00	0.264428	/
1024	256	16	kmeans_	baseline	Achliop	10	0.03906	1.000	0.00	0.249638	/
1024	256	16	kmeans_	gr-truth	Achliop	5	0.01953	1.000	0.00	0.121485	/
1024	256	16	kmeans_	baseline	Achliop	5	0.01953	1.000	0.00	0.110242	/
1024	256	16	kmeans_	gr-truth	Achliop	1	0.00391	0.958	0.02	0.116274	/
1024	256	16	kmeans_	baseline	Achliop	1	0.00391	0.923	0.05	0.084789	/
1024	256	16	kmeans_	gr-truth	FastJLT	50	0.19531	0.931	0.00	0.297556	0.1414213562373095
1024	256	16	kmeans_	baseline	FastJLT	50	0.19531	0.924	0.03	0.287989	0.1414213562373095
1024	256	16	kmeans_	gr-truth	FastJLT	20	0.07812	0.883	0.03	0.245108	0.22360679774997896
1024	256	16	kmeans_	baseline	FastJLT	20	0.07812	0.900	0.02	0.268480	0.22360679774997896
1024	256	16	kmeans_	gr-truth	FastJLT	10	0.03906	0.946	0.03	0.268141	0.31622776601683794
1024	256	16	kmeans_	baseline	FastJLT	10	0.03906	0.890	0.03	0.257212	0.31622776601683794
1024	256	16	kmeans_	gr-truth	FastJLT	5	0.01953	0.925	0.05	0.111924	0.4472135954999579
1024	256	16	kmeans_	baseline	FastJLT	5	0.01953	0.890	0.05	0.111799	0.4472135954999579
1024	256	16	kmeans_	gr-truth	FastJLT	1	0.00391	0.921	0.02	0.096586	1.0
1024	256	16	kmeans_	baseline	FastJLT	1	0.00391	0.923	0.03	0.110598	1.0
1024	256	16	kmeans_	gr-truth	sampDim	50	0.19531	1.000	0.00	0.272077	
1024	256	16	kmeans_	baseline	sampDim	50	0.19531	1.000	0.00	0.291612	
1024	256	16	kmeans_	gr-truth	sampDim	20	0.07812	1.000	0.00	0.246905	
1024	256	16	kmeans_	baseline	sampDim	20	0.07812	1.000	0.00	0.273616	
1024	256	16	kmeans_	gr-truth	sampDim	10	0.03906	1.000	0.00	0.250446	
1024	256	16	kmeans_	baseline	sampDim	10	0.03906	1.000	0.00	0.266440	
1024	256	16	kmeans_	gr-truth	sampDim	5	0.01953	1.000	0.00	0.042511	
1024	256	16	kmeans_	baseline	sampDim	5	0.01953	1.000	0.00	0.040446	
1024	256	16	kmeans_	gr-truth	sampDim	1	0.00391	0.932	0.00	0.036058	
1024	256	16	kmeans_	baseline	sampDim	1	0.00391	0.926	0.05	0.036840	
1024	256	16	kmeans_	gr-truth	HVarDim	50	0.19531	1.000	0.00	0.275149	
1024	256	16	kmeans_	baseline	HVarDim	50	0.19531	1.000	0.00	0.308391	
1024	256	16	kmeans_	gr-truth	HVarDim	20	0.07812	1.000	0.00	0.252908	
1024	256	16	kmeans_	baseline	HVarDim	20	0.07812	1.000	0.00	0.246991	
1024	256	16	kmeans_	gr-truth	HVarDim	10	0.03906	1.000	0.00	0.280134	
1024	256	16	kmeans_	baseline	HVarDim	10	0.03906	1.000	0.00	0.245839	
1024	256	16	kmeans_	gr-truth	HVarDim	5	0.01953	1.000	0.00	0.044740	
1024	256	16	kmeans_	baseline	HVarDim	5	0.01953	1.000	0.00	0.038987	
1024	256	16	kmeans_	gr-truth	HVarDim	1	0.00391	0.894	0.01	0.037831	
1024	256	16	kmeans_	baseline	HVarDim	1	0.00391	0.895	0.01	0.040883	
1024	256	16	kmeans_	gr-truth	usePCA	50	0.19531	1.000	0.00	0.269262	
1024	256	16	kmeans_	baseline	usePCA	50	0.19531	1.000	0.00	0.294511	
1024	256	16	kmeans_	gr-truth	usePCA	20	0.07812	1.000	0.00	0.285394	
1024	256	16	kmeans_	baseline	usePCA	20	0.07812	1.000	0.00	0.273534	
1024	256	16	kmeans_	gr-truth	usePCA	10	0.03906	1.000	0.00	0.261661	
1024	256	16	kmeans_	baseline	usePCA	10	0.03906	1.000	0.00	0.258307	
1024	256	16	kmeans_	gr-truth	usePCA	5	0.01953	1.000	0.00	0.082530	
1024	256	16	kmeans_	baseline	usePCA	5	0.01953	1.000	0.00	0.111618	
1024	256	16	kmeans_	gr-truth	usePCA	1	0.00391	0.994	0.01	0.156206	
1024	256	16	kmeans_	baseline	usePCA	1	0.00391	0.996	0.00	0.148303	
1024	256	16	kmeans_	gr-truth	FactAna	50	0.19531	0.981	0.00	0.350863	
1024	256	16	kmeans_	baseline	FactAna	50	0.19531	0.982	0.00	0.326941	
1024	256	16	kmeans_	gr-truth	FactAna	20	0.07812	1.000	0.00	0.310033	
1024	256	16	kmeans_	baseline	FactAna	20	0.07812	1.000	0.00	0.275445	
1024	256	16	kmeans_	gr-truth	FactAna	10	0.03906	1.000	0.00	0.267186	
1024	256	16	kmeans_	baseline	FactAna	10	0.03906	1.000	0.00	0.273473	
1024	256	16	kmeans_	gr-truth	FactAna	5	0.01953	1.000	0.00	0.139438	
1024	256	16	kmeans_	baseline	FactAna	5	0.01953	1.000	0.00	0.089395	
1024	256	16	kmeans_	gr-truth	FactAna	1	0.00391	0.952	0.00	0.141507	
1024	256	16	kmeans_	baseline	FactAna	1	0.00391	0.953	0.00	0.096828	

Loading highd (d=512) dataset...
n * d = 1024 * 512
n_clusters = 16
R = 3
n	d	n_clust	test_pr	eval_against	method	k	k/d	vmeas	vmeas_e	time
1024	512	16	kneigh_	gr-truth	-	-	-	1.000	0.00	0.170362	
1024	512	16	kneigh_	gr-truth	Achliop	50	0.09766	1.000	0.00	0.159978	/
1024	512	16	kneigh_	baseline	Achliop	50	0.09766	1.000	0.00	0.166260	/
1024	512	16	kneigh_	gr-truth	Achliop	20	0.03906	1.000	0.00	0.164433	/
1024	512	16	kneigh_	baseline	Achliop	20	0.03906	1.000	0.00	0.164382	/
1024	512	16	kneigh_	gr-truth	Achliop	10	0.01953	1.000	0.00	0.166467	/
1024	512	16	kneigh_	baseline	Achliop	10	0.01953	1.000	0.00	0.166594	/
1024	512	16	kneigh_	gr-truth	Achliop	5	0.00977	1.000	0.00	0.164956	/
1024	512	16	kneigh_	baseline	Achliop	5	0.00977	1.000	0.00	0.164635	/
1024	512	16	kneigh_	gr-truth	Achliop	1	0.00195	0.922	0.04	0.167267	/
1024	512	16	kneigh_	baseline	Achliop	1	0.00195	0.932	0.02	0.169206	/
1024	512	16	kneigh_	gr-truth	FastJLT	50	0.09766	0.979	0.02	0.162365	0.1414213562373095
1024	512	16	kneigh_	baseline	FastJLT	50	0.09766	0.932	0.01	0.161737	0.1414213562373095
1024	512	16	kneigh_	gr-truth	FastJLT	20	0.03906	0.961	0.02	0.161348	0.22360679774997896
1024	512	16	kneigh_	baseline	FastJLT	20	0.03906	0.929	0.04	0.161072	0.22360679774997896
1024	512	16	kneigh_	gr-truth	FastJLT	10	0.01953	0.944	0.02	0.161903	0.31622776601683794
1024	512	16	kneigh_	baseline	FastJLT	10	0.01953	0.939	0.02	0.163526	0.31622776601683794
1024	512	16	kneigh_	gr-truth	FastJLT	5	0.00977	0.919	0.02	0.162746	0.4472135954999579
1024	512	16	kneigh_	baseline	FastJLT	5	0.00977	0.932	0.02	0.166406	0.4472135954999579
1024	512	16	kneigh_	gr-truth	FastJLT	1	0.00195	0.872	0.03	0.163464	1.0
1024	512	16	kneigh_	baseline	FastJLT	1	0.00195	0.932	0.01	0.163483	1.0
1024	512	16	kneigh_	gr-truth	sampDim	50	0.09766	1.000	0.00	0.158090	
1024	512	16	kneigh_	baseline	sampDim	50	0.09766	1.000	0.00	0.155544	
1024	512	16	kneigh_	gr-truth	sampDim	20	0.03906	1.000	0.00	0.157807	
1024	512	16	kneigh_	baseline	sampDim	20	0.03906	1.000	0.00	0.157462	
1024	512	16	kneigh_	gr-truth	sampDim	10	0.01953	1.000	0.00	0.156736	
1024	512	16	kneigh_	baseline	sampDim	10	0.01953	1.000	0.00	0.157955	
1024	512	16	kneigh_	gr-truth	sampDim	5	0.00977	1.000	0.00	0.156568	
1024	512	16	kneigh_	baseline	sampDim	5	0.00977	1.000	0.00	0.158106	
1024	512	16	kneigh_	gr-truth	sampDim	1	0.00195	0.936	0.05	0.154719	
1024	512	16	kneigh_	baseline	sampDim	1	0.00195	0.943	0.03	0.157790	
1024	512	16	kneigh_	gr-truth	HVarDim	50	0.09766	1.000	0.00	0.158368	
1024	512	16	kneigh_	baseline	HVarDim	50	0.09766	1.000	0.00	0.154145	
1024	512	16	kneigh_	gr-truth	HVarDim	20	0.03906	1.000	0.00	0.158854	
1024	512	16	kneigh_	baseline	HVarDim	20	0.03906	1.000	0.00	0.154749	
1024	512	16	kneigh_	gr-truth	HVarDim	10	0.01953	1.000	0.00	0.148651	
1024	512	16	kneigh_	baseline	HVarDim	10	0.01953	1.000	0.00	0.156714	
1024	512	16	kneigh_	gr-truth	HVarDim	5	0.00977	1.000	0.00	0.157773	
1024	512	16	kneigh_	baseline	HVarDim	5	0.00977	1.000	0.00	0.157943	
1024	512	16	kneigh_	gr-truth	HVarDim	1	0.00195	0.943	0.00	0.157371	
1024	512	16	kneigh_	baseline	HVarDim	1	0.00195	0.943	0.00	0.158231	
1024	512	16	kneigh_	gr-truth	usePCA	50	0.09766	1.000	0.00	0.150278	
1024	512	16	kneigh_	baseline	usePCA	50	0.09766	1.000	0.00	0.152639	
1024	512	16	kneigh_	gr-truth	usePCA	20	0.03906	1.000	0.00	0.152141	
1024	512	16	kneigh_	baseline	usePCA	20	0.03906	1.000	0.00	0.152981	
1024	512	16	kneigh_	gr-truth	usePCA	10	0.01953	1.000	0.00	0.153572	
1024	512	16	kneigh_	baseline	usePCA	10	0.01953	1.000	0.00	0.152481	
1024	512	16	kneigh_	gr-truth	usePCA	5	0.00977	1.000	0.00	0.150599	
1024	512	16	kneigh_	baseline	usePCA	5	0.00977	1.000	0.00	0.153092	
